node2,node4,node5,node3,node6
1944,2443,2299,1460,2245
2003,2335,2191,1509,2353
2003,2335,2299,1509,2245
1895,2335,2299,1509,2353
2003,2276,2191,1568,2353
1895,2276,2299,1568,2353
1944,2335,2191,1568,2353
1836,2335,2299,1568,2353
1895,2443,2299,1509,2198
2003,2443,2299,1509,2137
1848,2443,2299,1509,2245
2003,2384,2299,1568,2137
1895,2384,2299,1568,2245
1944,2443,2299,1568,2090
1897,2443,2299,1568,2137
1836,2443,2299,1568,2245
1895,2170,2358,1568,2353
1895,2217,2311,1568,2353
1848,2217,2358,1568,2353
2003,2217,2358,1568,2245
2003,2217,2358,1460,2353
2003,2276,2358,1568,2186
2003,2276,2358,1509,2245
2003,2276,2358,1401,2353
1895,2276,2358,1509,2353
1895,2335,2358,1509,2294
1944,2276,2250,1568,2353
1944,2276,2358,1460,2353
1944,2335,2250,1568,2294
1944,2335,2250,1509,2353
1944,2335,2358,1401,2353
2003,2335,2358,1509,2186
1956,2335,2358,1450,2245
2003,2335,2311,1450,2245
2003,2335,2250,1509,2294
2003,2276,2250,1509,2353
2003,2335,2250,1450,2353
2003,2335,2358,1401,2294
1944,2337,2358,1568,2137
1895,2337,2358,1509,2245
2003,2278,2358,1568,2137
2003,2337,2358,1509,2137
1895,2278,2358,1460,2353
2003,2325,2250,1568,2245
2003,2384,2250,1509,2245
1895,2384,2250,1509,2353
2003,2384,2142,1509,2353
2003,2384,2250,1401,2353
2003,2325,2250,1460,2353
1944,2384,2250,1460,2353
2003,2325,2142,1568,2353
1944,2384,2142,1568,2353
1836,2384,2250,1568,2353
1895,2325,2250,1568,2353
1944,2384,2358,1460,2245
2003,2384,2358,1401,2245
2003,2325,2358,1460,2245
1848,2325,2358,1460,2353
1836,2384,2358,1460,2353
1895,2325,2311,1460,2353
1895,2325,2358,1460,2306
1848,2384,2358,1509,2245
1895,2325,2358,1568,2245
1895,2384,2311,1509,2245
1956,2384,2358,1509,2137
1956,2325,2358,1568,2137
1897,2384,2358,1568,2137
2003,2325,2311,1568,2137
2003,2384,2311,1509,2137
1944,2384,2311,1568,2137
1944,2396,2358,1509,2137
1944,2396,2250,1568,2186
1944,2396,2358,1293,2353
1895,2396,2358,1342,2353
1836,2396,2358,1509,2245
1895,2396,2358,1450,2245
1897,2443,2250,1568,2186
2003,2443,2142,1450,2353
2003,2443,2142,1509,2294
1944,2443,2142,1509,2353
2003,2384,2142,1568,2294
1944,2443,2203,1568,2186
2003,2384,2250,1460,2294
1944,2443,2250,1568,2139
1944,2443,2311,1293,2353
1897,2443,2358,1293,2353
1944,2443,2358,1293,2306
1944,2443,2358,1401,2245
1836,2443,2311,1509,2245
1789,2443,2358,1509,2245
1836,2443,2358,1509,2198
1897,2443,2358,1509,2137
1944,2443,2311,1509,2137
1944,2443,2358,1509,2090
1848,2443,2358,1342,2353
1895,2443,2311,1342,2353
1895,2443,2358,1342,2306
1895,2384,2358,1401,2353
2003,2384,2358,1293,2353
1848,2443,2358,1450,2245
1895,2443,2311,1450,2245
2003,2443,2250,1342,2353
